k,n_seeds,species_acc_top1_mean,species_acc_top1_std
1,3,0.007720471187519898,0.0022596417648166806
5,3,0.02037567653613499,0.002047863790236964
10,3,0.06311684177013689,0.030848429578910957
20,3,0.1626074498567335,0.05626541433938808
