k,seed,epoch,loss_total,loss_family,loss_genus,loss_species,val_family_acc_top1,val_family_acc_top5,val_family_f1_macro,val_family_f1_weighted,val_genus_acc_top1,val_genus_acc_top5,val_genus_f1_macro,val_genus_f1_weighted,val_species_acc_top1,val_species_acc_top5,val_species_f1_macro,val_species_f1_weighted
20,2,1,14.47065544128418,4.417675495147705,5.361143589019775,4.691836833953857,0.011461318051575931,0.05730659025787966,0.004989508493508092,0.012133562425015475,0.004775549188156638,0.03462273161413563,0.0019984887076726627,0.004112840442264964,0.0054918815663801334,0.03724928366762178,0.0003051220488195278,0.009990846864056033
20,2,2,13.538366317749023,4.108503818511963,5.054841995239258,4.375020980834961,0.019102196752626553,0.07020057306590258,0.006787553892302468,0.020746606653992097,0.0057306590257879654,0.03677172874880611,0.0025730936552996104,0.004590280340018897,0.01886341929321872,0.08094555873925502,0.00047622321821294105,0.03606921467415643
20,2,3,12.627374649047852,3.8174355030059814,4.764440536499023,4.045499324798584,0.02268385864374403,0.07999044890162368,0.006491346357055173,0.02241376789146762,0.008595988538681949,0.038204393505253106,0.0034617733688608317,0.005976515044332883,0.047039159503342885,0.16404011461318052,0.0010042142218225564,0.08827925512364142
20,2,4,11.759665489196777,3.533817768096924,4.479457378387451,3.7463905811309814,0.028175740210124166,0.09789875835721108,0.006896093139195166,0.02493837844383591,0.010506208213944603,0.039159503342884434,0.004099997372641244,0.006802803731349843,0.08572110792741165,0.29608404966571156,0.0017506867034748927,0.15540451528823257
20,2,5,10.81435489654541,3.2225492000579834,4.167967319488525,3.4238386154174805,0.02913085004775549,0.11127029608404966,0.006331936835976444,0.023594683723136375,0.010744985673352435,0.04393505253104107,0.004194876067099361,0.006522035670756393,0.1356255969436485,0.45391595033428844,0.002569199251010839,0.23524050144603081
