epoch,loss_total,loss_family,loss_genus,loss_species,val_family_acc_top1,val_family_acc_top5,val_family_f1_macro,val_family_f1_weighted,val_genus_acc_top1,val_genus_acc_top5,val_genus_f1_macro,val_genus_f1_weighted,val_species_acc_top1,val_species_acc_top5,val_species_f1_macro,val_species_f1_weighted
1,3.985316626702325,1.630805047184734,2.1256146853252993,0.22889689954068765,0.6642788920725884,0.897803247373448,0.5250262285168587,0.660650675208106,0.5964660936007641,0.8488538681948424,0.4652426057102939,0.5952626944700717,0.9723018147086915,0.9916427889207259,0.19511381022148183,0.9645751790718953
2,2.0210040502629036,0.8454778530335022,1.0906611623400349,0.0848650347094162,0.7406876790830945,0.9329035339063992,0.621700195051393,0.7371337426711975,0.6857688634192932,0.9047277936962751,0.554587580382668,0.679953713031032,0.9732569245463228,0.9949856733524355,0.2728178685512019,0.9705317364583842
3,1.3959250880500018,0.585018804770405,0.7606479506371385,0.050258331579132544,0.7585959885386819,0.9338586437440306,0.6727766610157253,0.7574386658277077,0.7196752626552053,0.910458452722063,0.6219002876463611,0.7151101308415555,0.973018147086915,0.9968958930276982,0.3248440597522862,0.9721168421177941
4,1.0207286435668752,0.4269036796133397,0.5578058484499737,0.03601911680129657,0.7571633237822349,0.9302769818529131,0.6735735781995694,0.7583230969443883,0.7172874880611271,0.9063992359121299,0.6373346809315387,0.7198802725858957,0.98018147086915,0.9968958930276982,0.40762242722464564,0.9769084289910944
5,0.7751851120742701,0.32416233830785346,0.4255744430978419,0.025448331063153553,0.7628939828080229,0.9338586437440306,0.6721978322416781,0.7618763747065463,0.7175262655205349,0.8982808022922636,0.6504291777825283,0.7169858341092582,0.9813753581661891,0.995702005730659,0.40084661277006717,0.9772958329794279
