k,seed,epoch,loss_total,loss_family,loss_genus,loss_species,val_family_acc_top1,val_family_acc_top5,val_family_f1_macro,val_family_f1_weighted,val_genus_acc_top1,val_genus_acc_top5,val_genus_f1_macro,val_genus_f1_weighted,val_species_acc_top1,val_species_acc_top5,val_species_f1_macro,val_species_f1_weighted
1,2,1,14.486924171447754,4.53856086730957,5.298874855041504,4.649488687515259,0.007402101241642789,0.0494269340974212,0.004144690133322653,0.006284342047112043,0.0028653295128939827,0.015281757402101241,0.0014242512147659035,0.003206529689964473,0.0064469914040114614,0.03462273161413563,0.002903701390730948,0.010617971532169227
1,2,2,13.525979995727539,4.20372200012207,4.969491243362427,4.3527672290802,0.01504297994269341,0.06327602674307545,0.0074034455443872885,0.012095726090587811,0.0035816618911174787,0.016953199617956063,0.002527928395209895,0.004179779507130703,0.0071633237822349575,0.04154727793696275,0.0020126246026033762,0.012924290077339562
1,2,3,12.719895362854004,3.925763487815857,4.669444799423218,4.1246867179870605,0.02387774594078319,0.09145176695319962,0.009633506696524293,0.017706185096357276,0.0038204393505253103,0.024116523400191024,0.0020616559318565393,0.004070173922948175,0.0066857688634192934,0.04130850047755492,0.004729922720495826,0.010244017115561544
1,2,4,11.788883686065674,3.6038767099380493,4.333753347396851,3.851253628730774,0.03127984718242598,0.11843361986628462,0.009146563102567696,0.018747835567277826,0.007879656160458453,0.029847182425978988,0.003159521718553666,0.005262522548680279,0.008357211079274117,0.044890162368672396,0.00299979301497656,0.013451127624781088
1,2,5,10.934625625610352,3.279181122779846,4.0208858251571655,3.6345585584640503,0.03772683858643744,0.13944603629417382,0.009558562026813188,0.020959695517775746,0.010267430754536771,0.034861509073543455,0.003616940735902086,0.006109020049333408,0.008118433619866285,0.042263610315186245,0.003900131795201858,0.01210747254353319
